,names,link,research_field,subfaculty,faculty,link_CU,research_interest
370,Demetrios T. Venetsanos,https://scholar.google.co.uk/citations?hl=en&user=ZgCZmpEAAAAJ,"Structural Optimization, Computational Mechanics/Biomechanics, Finite Element Analysis, Mechanisms",,,,
371,Maria  Cable,https://scholar.google.co.uk/citations?hl=en&user=PwezoowAAAAJ,adolescent young adult cancer,,,,
372,Hardip Sandhu,https://scholar.google.co.uk/citations?hl=en&user=i1bmhMsAAAAJ,"Cardiovascular diseases, Insulin Resistance, Polycystic Ovary Syndrome, miRNA biomarkers","Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/hardip-sandhu,"Research Interests: MicroRNA biomarkers

; Early detection of drug-induced cardiotoxicity 
; Insulin resistance in women with Polycystic Ovarian Syndrome; Polycystic Ovarian Syndrome associated diabetes and cardiovascular diseases; Drug safety, validation and optimisation using in vitro disease models mimicking in vivo pathways"
373,Nandor Verba,https://scholar.google.co.uk/citations?hl=en&user=Z1ym6jYAAAAJ,"Internet of Things, Cloud Computing, Fog Computing, Industry 4.0, Deep Learning",Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/nandor-verba-2,Education/Academic qualification: None
374,Nikki Holliday,https://scholar.google.co.uk/citations?hl=en&user=mpWXQzoAAAAJ,"assistive technology, co-creation, co-design, prototyping",Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/nikki-holliday,"Vision Statement:  
My research and work is inspired by the use of creative data collection methods to fully involve people in the design and development of technology and services. In particular I am interested in projects which explore the development and use of technology to support older people and those with long term health conditions to live independently. I am passionate about the interplay of research and design, which can be used to create technologies which are not only functional, but also desirable to those that may benefit from them.
 "
375,Ammar Al-Bazi,https://scholar.google.co.uk/citations?hl=en&user=LJVZni8AAAAJ,"Operational Research, Business Simulation, Artificial Intelligence, Business Computing, Applied Statistics",,,,
376,Jino Mathew,https://scholar.google.co.uk/citations?hl=en&user=MZK-UX4AAAAJ,"machine learning, applications",,,https://pureportal.coventry.ac.uk/en/persons/jino-mathew,None: None
377,Alexander Kazamias,https://scholar.google.co.uk/citations?hl=en&user=9RapLPgAAAAJ,"Modern Greek History and Politics, History and Politics of Modern Egypt, Greek-Turkish Relations, Ethnic Minorities in Egypt",,,,
378,Aliyu Musa,https://scholar.google.co.uk/citations?hl=en&user=PQ81YrEAAAAJ,"Media, Journalism, Political Psychology, Conflict Studies",,,,
379,Dr. Ramón González-Méndez,https://scholar.google.co.uk/citations?hl=en&user=NOZYFz0AAAAJ,"Analytical Chemistry, Mass Spectrometry/High Resolution Mass Spectrometry, PTR-MS, Environmental Organic Chemistry",,,,
